
> legasi-video@1.0.0 build
> remotion render LegasiDemo out/legasi-demo.mp4

Bundling 6%
Bundling 21%
Bundling 65%
Bundling 71%
Bundling 76%
Bundling 81%
Bundling 87%
Bundling 92%
Bundling 98%
Bundling 100%
Getting composition
Composition          LegasiDemo
Codec                h264
Output               out/legasi-demo.mp4
Concurrency          1x
Rendered 0/4500
Rendered 1/4500, time remaining: 41m 54s
Rendered 480/4500, time remaining: 13m 27s
Rendered 481/4500, time remaining: 13m 28s
Rendered 482/4500, time remaining: 13m 30s
Rendered 482/4500, time remaining: 13m 30s
Rendered 483/4500, time remaining: 13m 29s
Rendered 484/4500, time remaining: 13m 29s
Rendered 484/4500, time remaining: 13m 29s
Rendered 485/4500, time remaining: 13m 29s
Rendered 486/4500, time remaining: 13m 31s
Rendered 486/4500, time remaining: 13m 31s
Rendered 487/4500, time remaining: 13m 33s
Rendered 488/4500, time remaining: 13m 32s
Rendered 489/4500, time remaining: 13m 33s
Rendered 489/4500, time remaining: 13m 33s
Rendered 490/4500, time remaining: 13m 34s
Rendered 491/4500, time remaining: 13m 35s
Rendered 491/4500, time remaining: 13m 35s
Rendered 492/4500, time remaining: 13m 35s
Rendered 493/4500, time remaining: 13m 36s
Rendered 493/4500, time remaining: 13m 36s
Rendered 494/4500, time remaining: 13m 36s
Rendered 495/4500, time remaining: 13m 36s
Rendered 495/4500, time remaining: 13m 36s
Rendered 496/4500, time remaining: 13m 37s
Rendered 497/4500, time remaining: 13m 39s
Rendered 497/4500, time remaining: 13m 39s
Rendered 498/4500, time remaining: 13m 40s
Rendered 498/4500, time remaining: 13m 40s
Rendered 499/4500, time remaining: 13m 47s
Rendered 500/4500, time remaining: 13m 48s
Rendered 500/4500, time remaining: 13m 48s
Rendered 501/4500, time remaining: 13m 50s
Rendered 502/4500, time remaining: 13m 51s
Rendered 502/4500, time remaining: 13m 51s
Rendered 503/4500, time remaining: 13m 51s
Rendered 504/4500, time remaining: 13m 52s
Rendered 504/4500, time remaining: 13m 52s
Rendered 505/4500, time remaining: 13m 55s
Rendered 506/4500, time remaining: 13m 55s
Rendered 507/4500, time remaining: 13m 55s
Rendered 507/4500, time remaining: 13m 55s
Rendered 508/4500, time remaining: 13m 55s
Rendered 509/4500, time remaining: 13m 56s
Rendered 509/4500, time remaining: 13m 56s
Rendered 510/4500, time remaining: 13m 57s
Rendered 511/4500, time remaining: 13m 57s
Rendered 511/4500, time remaining: 13m 57s
Rendered 512/4500, time remaining: 13m 59s
Rendered 513/4500, time remaining: 14m 0s
Rendered 513/4500, time remaining: 14m 0s
Rendered 514/4500, time remaining: 14m 1s
Rendered 515/4500, time remaining: 14m 2s
Rendered 515/4500, time remaining: 14m 2s
Rendered 516/4500, time remaining: 14m 2s
Rendered 517/4500, time remaining: 14m 4s
Rendered 517/4500, time remaining: 14m 4s
Rendered 518/4500, time remaining: 14m 5s
Rendered 519/4500, time remaining: 14m 5s
Rendered 519/4500, time remaining: 14m 5s
Rendered 520/4500, time remaining: 14m 6s
Rendered 521/4500, time remaining: 14m 8s
Rendered 522/4500, time remaining: 14m 8s
Rendered 522/4500, time remaining: 14m 8s
Rendered 523/4500, time remaining: 14m 9s
Rendered 524/4500, time remaining: 14m 11s
Rendered 524/4500, time remaining: 14m 11s
Rendered 525/4500, time remaining: 14m 12s
Rendered 526/4500, time remaining: 14m 11s
Rendered 526/4500, time remaining: 14m 11s
Rendered 527/4500, time remaining: 14m 11s
Rendered 528/4500, time remaining: 14m 12s
Rendered 528/4500, time remaining: 14m 12s
Rendered 529/4500, time remaining: 14m 13s
Rendered 530/4500, time remaining: 14m 13s
Rendered 531/4500, time remaining: 14m 15s
Rendered 531/4500, time remaining: 14m 15s
Rendered 532/4500, time remaining: 14m 16s
Rendered 533/4500, time remaining: 14m 17s
Rendered 533/4500, time remaining: 14m 17s
Rendered 534/4500, time remaining: 14m 17s
Rendered 535/4500, time remaining: 14m 19s
Rendered 535/4500, time remaining: 14m 19s
Rendered 536/4500, time remaining: 14m 20s
Rendered 537/4500, time remaining: 14m 21s
Rendered 537/4500, time remaining: 14m 21s
Rendered 538/4500, time remaining: 14m 22s
Rendered 539/4500, time remaining: 14m 22s
Rendered 539/4500, time remaining: 14m 22s
Rendered 540/4500, time remaining: 14m 23s
Rendered 541/4500, time remaining: 14m 26s
Rendered 541/4500, time remaining: 14m 26s
Rendered 542/4500, time remaining: 14m 26s
Rendered 543/4500, time remaining: 14m 26s
Rendered 543/4500, time remaining: 14m 26s
Rendered 544/4500, time remaining: 14m 28s
Rendered 545/4500, time remaining: 14m 29s
Rendered 545/4500, time remaining: 14m 29s
Rendered 546/4500, time remaining: 14m 30s
Rendered 547/4500, time remaining: 14m 29s
Rendered 548/4500, time remaining: 14m 31s
Rendered 548/4500, time remaining: 14m 31s
Rendered 549/4500, time remaining: 14m 33s
Rendered 550/4500, time remaining: 14m 34s
Rendered 550/4500, time remaining: 14m 34s
Rendered 551/4500, time remaining: 14m 35s
Rendered 552/4500, time remaining: 14m 34s
Rendered 552/4500, time remaining: 14m 34s
Rendered 553/4500, time remaining: 14m 36s
Rendered 554/4500, time remaining: 14m 36s
Rendered 554/4500, time remaining: 14m 36s
Rendered 555/4500, time remaining: 14m 36s
Rendered 556/4500, time remaining: 14m 36s
Rendered 557/4500, time remaining: 14m 37s
Rendered 557/4500, time remaining: 14m 37s
Rendered 558/4500, time remaining: 14m 39s
Rendered 559/4500, time remaining: 14m 38s
Rendered 559/4500, time remaining: 14m 38s
Rendered 560/4500, time remaining: 14m 39s
Rendered 561/4500, time remaining: 14m 41s
Rendered 561/4500, time remaining: 14m 41s
Rendered 562/4500, time remaining: 14m 43s
Rendered 563/4500, time remaining: 14m 42s
Rendered 563/4500, time remaining: 14m 42s
Rendered 564/4500, time remaining: 14m 43s
Rendered 565/4500, time remaining: 14m 45s
Rendered 565/4500, time remaining: 14m 45s
Rendered 566/4500, time remaining: 14m 46s
Rendered 567/4500, time remaining: 14m 45s
Rendered 567/4500, time remaining: 14m 45s
Rendered 568/4500, time remaining: 14m 47s
Rendered 569/4500, time remaining: 14m 48s
Rendered 569/4500, time remaining: 14m 48s
Rendered 570/4500, time remaining: 14m 50s
Rendered 571/4500, time remaining: 14m 50s
Rendered 572/4500, time remaining: 14m 51s
Rendered 572/4500, time remaining: 14m 51s
Rendered 573/4500, time remaining: 14m 53s
Rendered 573/4500, time remaining: 14m 53s
Rendered 574/4500, time remaining: 14m 56s
Rendered 575/4500, time remaining: 14m 57s
Rendered 576/4500, time remaining: 14m 58s
Rendered 576/4500, time remaining: 14m 58s
Rendered 577/4500, time remaining: 15m 1s
Rendered 578/4500, time remaining: 15m 1s
Rendered 578/4500, time remaining: 15m 1s
Rendered 579/4500, time remaining: 15m 2s
Rendered 579/4500, time remaining: 15m 2s
Rendered 580/4500, time remaining: 15m 7s
Rendered 581/4500, time remaining: 15m 11s
Rendered 581/4500, time remaining: 15m 11s
Rendered 582/4500, time remaining: 15m 12s
Rendered 583/4500, time remaining: 15m 14s
Rendered 583/4500, time remaining: 15m 14s
Rendered 584/4500, time remaining: 15m 15s
Rendered 585/4500, time remaining: 15m 17s
Rendered 585/4500, time remaining: 15m 17s
Rendered 586/4500, time remaining: 15m 18s
Rendered 587/4500, time remaining: 15m 19s
Rendered 587/4500, time remaining: 15m 19s
Rendered 588/4500, time remaining: 15m 20s
Rendered 589/4500, time remaining: 15m 20s
Rendered 589/4500, time remaining: 15m 20s
Rendered 590/4500, time remaining: 15m 22s
Rendered 591/4500, time remaining: 15m 24s
Rendered 591/4500, time remaining: 15m 24s
Rendered 592/4500, time remaining: 15m 24s
Rendered 593/4500, time remaining: 15m 24s
Rendered 593/4500, time remaining: 15m 24s
Rendered 594/4500, time remaining: 15m 25s
Rendered 595/4500, time remaining: 15m 25s
Rendered 595/4500, time remaining: 15m 25s
Rendered 596/4500, time remaining: 15m 26s
Rendered 597/4500, time remaining: 15m 27s
Rendered 597/4500, time remaining: 15m 27s
Rendered 598/4500, time remaining: 15m 28s
Rendered 599/4500, time remaining: 15m 30s
Rendered 599/4500, time remaining: 15m 30s
Rendered 600/4500, time remaining: 15m 31s
Rendered 601/4500, time remaining: 15m 31s
Rendered 601/4500, time remaining: 15m 31s
Rendered 602/4500, time remaining: 15m 31s
Rendered 603/4500, time remaining: 15m 30s
Rendered 603/4500, time remaining: 15m 30s
Rendered 604/4500, time remaining: 15m 30s
Rendered 605/4500, time remaining: 15m 29s
Rendered 605/4500, time remaining: 15m 29s
Rendered 606/4500, time remaining: 15m 30s
Rendered 607/4500, time remaining: 15m 29s
Rendered 608/4500, time remaining: 15m 29s
Rendered 608/4500, time remaining: 15m 29s
Rendered 609/4500, time remaining: 15m 29s
Rendered 610/4500, time remaining: 15m 28s
Rendered 610/4500, time remaining: 15m 28s
Rendered 611/4500, time remaining: 15m 28s
Rendered 612/4500, time remaining: 15m 27s
Rendered 612/4500, time remaining: 15m 27s
Rendered 613/4500, time remaining: 15m 27s
Rendered 614/4500, time remaining: 15m 27s
Rendered 614/4500, time remaining: 15m 27s
Rendered 615/4500, time remaining: 15m 26s
Rendered 616/4500, time remaining: 15m 25s
Rendered 616/4500, time remaining: 15m 25s
Rendered 617/4500, time remaining: 15m 25s
Rendered 618/4500, time remaining: 15m 25s
Rendered 618/4500, time remaining: 15m 25s
Rendered 619/4500, time remaining: 15m 25s
Rendered 620/4500, time remaining: 15m 25s
Rendered 620/4500, time remaining: 15m 25s
Rendered 621/4500, time remaining: 15m 25s
Rendered 622/4500, time remaining: 15m 24s
Rendered 622/4500, time remaining: 15m 24s
Rendered 623/4500, time remaining: 15m 25s
Rendered 624/4500, time remaining: 15m 25s
Rendered 624/4500, time remaining: 15m 25s
Rendered 625/4500, time remaining: 15m 24s
Rendered 626/4500, time remaining: 15m 25s
Rendered 626/4500, time remaining: 15m 25s
Rendered 627/4500, time remaining: 15m 25s
Rendered 628/4500, time remaining: 15m 26s
Rendered 629/4500, time remaining: 15m 24s
Rendered 629/4500, time remaining: 15m 24s
Rendered 630/4500, time remaining: 15m 26s
Rendered 630/4500, time remaining: 15m 26s
Rendered 631/4500, time remaining: 15m 26s
Rendered 632/4500, time remaining: 15m 26s
Rendered 632/4500, time remaining: 15m 26s
Rendered 633/4500, time remaining: 15m 27s
Rendered 634/4500, time remaining: 15m 27s
Rendered 635/4500, time remaining: 15m 26s
Rendered 635/4500, time remaining: 15m 26s
Rendered 636/4500, time remaining: 15m 25s
Rendered 637/4500, time remaining: 15m 25s
Rendered 637/4500, time remaining: 15m 25s
Rendered 638/4500, time remaining: 15m 25s
Rendered 639/4500, time remaining: 15m 26s
Rendered 639/4500, time remaining: 15m 26s
Rendered 640/4500, time remaining: 15m 24s
Rendered 641/4500, time remaining: 15m 24s
Rendered 641/4500, time remaining: 15m 24s
Rendered 642/4500, time remaining: 15m 25s
Rendered 643/4500, time remaining: 15m 25s
Rendered 643/4500, time remaining: 15m 25s
Rendered 644/4500, time remaining: 15m 25s
Rendered 645/4500, time remaining: 15m 25s
Rendered 645/4500, time remaining: 15m 25s
Rendered 646/4500, time remaining: 15m 25s
Rendered 647/4500, time remaining: 15m 24s
Rendered 647/4500, time remaining: 15m 24s
Rendered 648/4500, time remaining: 15m 24s
Rendered 649/4500, time remaining: 15m 18s
Rendered 649/4500, time remaining: 15m 18s
Rendered 650/4500, time remaining: 15m 18s
Rendered 651/4500, time remaining: 15m 17s
Rendered 651/4500, time remaining: 15m 17s
Rendered 652/4500, time remaining: 15m 17s
Rendered 653/4500, time remaining: 15m 16s
Rendered 653/4500, time remaining: 15m 16s
Rendered 654/4500, time remaining: 15m 18s
Rendered 655/4500, time remaining: 15m 16s
Rendered 655/4500, time remaining: 15m 16s
Rendered 656/4500, time remaining: 15m 17s
Rendered 657/4500, time remaining: 15m 18s
Rendered 658/4500, time remaining: 15m 18s
Rendered 658/4500, time remaining: 15m 18s
Rendered 659/4500, time remaining: 15m 17s
Rendered 660/4500, time remaining: 15m 18s
Rendered 660/4500, time remaining: 15m 18s
Rendered 661/4500, time remaining: 15m 19s
Rendered 662/4500, time remaining: 15m 18s
Rendered 662/4500, time remaining: 15m 18s
Rendered 663/4500, time remaining: 15m 18s
Rendered 664/4500, time remaining: 15m 19s
Rendered 664/4500, time remaining: 15m 19s
Rendered 665/4500, time remaining: 15m 19s
Rendered 666/4500, time remaining: 15m 18s
Rendered 666/4500, time remaining: 15m 18s
Rendered 667/4500, time remaining: 15m 18s
Rendered 668/4500, time remaining: 15m 18s
Rendered 668/4500, time remaining: 15m 18s
Rendered 669/4500, time remaining: 15m 19s
Rendered 670/4500, time remaining: 15m 18s
Rendered 670/4500, time remaining: 15m 18s
Rendered 671/4500, time remaining: 15m 17s
Rendered 672/4500, time remaining: 15m 17s
Rendered 672/4500, time remaining: 15m 17s
Rendered 673/4500, time remaining: 15m 18s
Rendered 674/4500, time remaining: 15m 16s
Rendered 674/4500, time remaining: 15m 16s
Rendered 675/4500, time remaining: 15m 17s
Rendered 676/4500, time remaining: 15m 17s
Rendered 676/4500, time remaining: 15m 17s
Rendered 677/4500, time remaining: 15m 17s
Rendered 678/4500, time remaining: 15m 17s
Rendered 679/4500, time remaining: 15m 16s
Rendered 679/4500, time remaining: 15m 16s
Rendered 680/4500, time remaining: 15m 18s
Rendered 681/4500, time remaining: 15m 17s
Rendered 681/4500, time remaining: 15m 17s
Rendered 682/4500, time remaining: 15m 17s
Rendered 683/4500, time remaining: 15m 17s
Rendered 683/4500, time remaining: 15m 17s
Rendered 684/4500, time remaining: 15m 17s
Rendered 685/4500, time remaining: 15m 17s
Rendered 685/4500, time remaining: 15m 17s
Rendered 686/4500, time remaining: 15m 18s
Rendered 687/4500, time remaining: 15m 18s
Rendered 687/4500, time remaining: 15m 18s
Rendered 688/4500, time remaining: 15m 18s
Rendered 689/4500, time remaining: 15m 18s
Rendered 689/4500, time remaining: 15m 18s
Rendered 690/4500, time remaining: 15m 18s
Rendered 691/4500, time remaining: 15m 17s
Rendered 691/4500, time remaining: 15m 17s
Rendered 692/4500, time remaining: 15m 18s
Rendered 693/4500, time remaining: 15m 18s
Rendered 693/4500, time remaining: 15m 18s
Rendered 694/4500, time remaining: 15m 18s
Rendered 695/4500, time remaining: 15m 18s
Rendered 695/4500, time remaining: 15m 18s
Rendered 696/4500, time remaining: 15m 17s
Rendered 697/4500, time remaining: 15m 19s
Rendered 697/4500, time remaining: 15m 19s
Rendered 698/4500, time remaining: 15m 18s
Rendered 699/4500, time remaining: 15m 17s
Rendered 699/4500, time remaining: 15m 17s
Rendered 700/4500, time remaining: 15m 17s
Rendered 701/4500, time remaining: 15m 17s
Rendered 701/4500, time remaining: 15m 17s
Rendered 702/4500, time remaining: 15m 18s
Rendered 703/4500, time remaining: 15m 18s
Rendered 703/4500, time remaining: 15m 18s
Rendered 704/4500, time remaining: 15m 19s
Rendered 705/4500, time remaining: 15m 19s
Rendered 705/4500, time remaining: 15m 19s
Rendered 706/4500, time remaining: 15m 20s
Rendered 707/4500, time remaining: 15m 20s
Rendered 707/4500, time remaining: 15m 20s
Rendered 708/4500, time remaining: 15m 19s
Rendered 709/4500, time remaining: 15m 19s
Rendered 710/4500, time remaining: 15m 19s
Rendered 710/4500, time remaining: 15m 19s
Rendered 711/4500, time remaining: 15m 19s
Rendered 712/4500, time remaining: 15m 18s
Rendered 712/4500, time remaining: 15m 18s
Rendered 713/4500, time remaining: 15m 18s
Rendered 714/4500, time remaining: 15m 18s
Rendered 714/4500, time remaining: 15m 18s
Rendered 715/4500, time remaining: 15m 17s
Rendered 716/4500, time remaining: 15m 16s
Rendered 716/4500, time remaining: 15m 16s
Rendered 717/4500, time remaining: 15m 17s
Rendered 718/4500, time remaining: 15m 17s
Rendered 718/4500, time remaining: 15m 17s
Rendered 719/4500, time remaining: 15m 17s
Rendered 720/4500, time remaining: 15m 16s
Rendered 720/4500, time remaining: 15m 16s
Rendered 721/4500, time remaining: 15m 16s
Rendered 722/4500, time remaining: 15m 17s
Rendered 722/4500, time remaining: 15m 17s
Rendered 723/4500, time remaining: 15m 17s
Rendered 724/4500, time remaining: 15m 15s
Rendered 724/4500, time remaining: 15m 15s
Rendered 725/4500, time remaining: 15m 15s
Rendered 726/4500, time remaining: 15m 15s
Rendered 726/4500, time remaining: 15m 15s
Rendered 727/4500, time remaining: 15m 13s
Rendered 728/4500, time remaining: 15m 12s
Rendered 729/4500, time remaining: 15m 12s
Rendered 729/4500, time remaining: 15m 12s
Rendered 730/4500, time remaining: 15m 8s
Rendered 731/4500, time remaining: 15m 5s
Rendered 731/4500, time remaining: 15m 5s
Rendered 732/4500, time remaining: 15m 4s
Rendered 733/4500, time remaining: 15m 3s
Rendered 733/4500, time remaining: 15m 3s
Rendered 734/4500, time remaining: 15m 4s
Rendered 735/4500, time remaining: 15m 3s
Rendered 735/4500, time remaining: 15m 3s
Rendered 736/4500, time remaining: 15m 3s
Rendered 737/4500, time remaining: 15m 3s
Rendered 737/4500, time remaining: 15m 3s
Rendered 738/4500, time remaining: 15m 4s
Rendered 739/4500, time remaining: 15m 4s
Rendered 739/4500, time remaining: 15m 4s
Rendered 740/4500, time remaining: 15m 3s
Rendered 741/4500, time remaining: 15m 3s
Rendered 741/4500, time remaining: 15m 3s
Rendered 742/4500, time remaining: 15m 3s
Rendered 743/4500, time remaining: 15m 3s
Rendered 743/4500, time remaining: 15m 3s
Rendered 744/4500, time remaining: 15m 4s
Rendered 745/4500, time remaining: 15m 3s
Rendered 745/4500, time remaining: 15m 3s
Rendered 746/4500, time remaining: 15m 3s
Rendered 747/4500, time remaining: 15m 4s
Rendered 747/4500, time remaining: 15m 4s
Rendered 748/4500, time remaining: 15m 4s
Rendered 749/4500, time remaining: 15m 2s
Rendered 749/4500, time remaining: 15m 2s
Rendered 750/4500, time remaining: 15m 3s
Rendered 751/4500, time remaining: 15m 3s
Rendered 751/4500, time remaining: 15m 3s
Rendered 752/4500, time remaining: 15m 2s
Rendered 753/4500, time remaining: 15m 3s
Rendered 753/4500, time remaining: 15m 3s
Rendered 754/4500, time remaining: 15m 3s
Rendered 755/4500, time remaining: 15m 4s
Rendered 755/4500, time remaining: 15m 4s
Rendered 756/4500, time remaining: 15m 4s
Rendered 757/4500, time remaining: 15m 3s
Rendered 757/4500, time remaining: 15m 3s
Rendered 758/4500, time remaining: 15m 3s
Rendered 759/4500, time remaining: 15m 4s
Rendered 759/4500, time remaining: 15m 4s
Rendered 760/4500, time remaining: 15m 4s
Rendered 761/4500, time remaining: 15m 4s
Rendered 761/4500, time remaining: 15m 4s
Rendered 762/4500, time remaining: 15m 3s
Rendered 763/4500, time remaining: 15m 1s
Rendered 763/4500, time remaining: 15m 1s
Rendered 764/4500, time remaining: 15m 2s
Rendered 765/4500, time remaining: 15m 2s
Rendered 765/4500, time remaining: 15m 2s
Rendered 766/4500, time remaining: 15m 2s
Rendered 767/4500, time remaining: 15m 1s
Rendered 767/4500, time remaining: 15m 1s
Rendered 768/4500, time remaining: 15m 2s
Rendered 769/4500, time remaining: 15m 1s
Rendered 769/4500, time remaining: 15m 1s
Rendered 770/4500, time remaining: 15m 2s
Rendered 771/4500, time remaining: 15m 2s
Rendered 771/4500, time remaining: 15m 2s
Rendered 772/4500, time remaining: 15m 2s
Rendered 773/4500, time remaining: 15m 1s
Rendered 774/4500, time remaining: 15m 0s
Rendered 774/4500, time remaining: 15m 0s
Rendered 775/4500, time remaining: 14m 59s
Rendered 775/4500, time remaining: 14m 59s
Rendered 776/4500, time remaining: 15m 0s
Rendered 777/4500, time remaining: 14m 59s
Rendered 778/4500, time remaining: 14m 59s
Rendered 778/4500, time remaining: 14m 59s
Rendered 779/4500, time remaining: 15m 0s
Rendered 779/4500, time remaining: 15m 0s
Rendered 780/4500, time remaining: 15m 0s
Rendered 781/4500, time remaining: 15m 0s
Rendered 782/4500, time remaining: 14m 59s
Rendered 782/4500, time remaining: 14m 59s
Rendered 783/4500, time remaining: 14m 59s
Rendered 784/4500, time remaining: 14m 58s
Rendered 784/4500, time remaining: 14m 58s
Rendered 785/4500, time remaining: 14m 58s
Rendered 786/4500, time remaining: 14m 58s
Rendered 786/4500, time remaining: 14m 58s
Rendered 787/4500, time remaining: 14m 59s
Rendered 788/4500, time remaining: 15m 0s
Rendered 788/4500, time remaining: 15m 0s
Rendered 789/4500, time remaining: 15m 0s
Rendered 790/4500, time remaining: 15m 0s
Rendered 790/4500, time remaining: 15m 0s
Rendered 791/4500, time remaining: 15m 0s
Rendered 792/4500, time remaining: 14m 59s
Rendered 792/4500, time remaining: 14m 59s
Rendered 793/4500, time remaining: 15m 0s
Rendered 793/4500, time remaining: 15m 0s
Rendered 794/4500, time remaining: 15m 1s
Rendered 795/4500, time remaining: 15m 6s
Rendered 795/4500, time remaining: 15m 6s
Rendered 796/4500, time remaining: 15m 5s
Rendered 797/4500, time remaining: 15m 5s
Rendered 797/4500, time remaining: 15m 5s
Rendered 798/4500, time remaining: 15m 4s
Rendered 799/4500, time remaining: 15m 4s
Rendered 799/4500, time remaining: 15m 4s
Rendered 800/4500, time remaining: 15m 4s
Rendered 801/4500, time remaining: 15m 3s
Rendered 801/4500, time remaining: 15m 3s
Rendered 802/4500, time remaining: 15m 4s
Rendered 803/4500, time remaining: 15m 3s
Rendered 803/4500, time remaining: 15m 3s
Rendered 804/4500, time remaining: 15m 2s
Rendered 805/4500, time remaining: 15m 2s
Rendered 805/4500, time remaining: 15m 2s
Rendered 806/4500, time remaining: 15m 1s
Rendered 807/4500, time remaining: 15m 0s
Rendered 807/4500, time remaining: 15m 0s
Rendered 808/4500, time remaining: 15m 1s
Rendered 809/4500, time remaining: 15m 0s
Rendered 809/4500, time remaining: 15m 0s
Rendered 810/4500, time remaining: 14m 59s
Rendered 811/4500, time remaining: 14m 58s
Rendered 811/4500, time remaining: 14m 58s
Rendered 812/4500, time remaining: 14m 58s
Rendered 813/4500, time remaining: 14m 58s
Rendered 814/4500, time remaining: 14m 57s
Rendered 814/4500, time remaining: 14m 57s
Rendered 815/4500, time remaining: 14m 57s
Rendered 816/4500, time remaining: 14m 57s
Rendered 816/4500, time remaining: 14m 57s
Rendered 817/4500, time remaining: 14m 57s
Rendered 818/4500, time remaining: 14m 57s
Rendered 818/4500, time remaining: 14m 57s
Rendered 819/4500, time remaining: 14m 57s
Rendered 820/4500, time remaining: 14m 57s
Rendered 820/4500, time remaining: 14m 57s
Rendered 821/4500, time remaining: 14m 58s
Rendered 822/4500, time remaining: 14m 57s
Rendered 822/4500, time remaining: 14m 57s
Rendered 823/4500, time remaining: 14m 57s
Rendered 824/4500, time remaining: 14m 58s
Rendered 824/4500, time remaining: 14m 58s
Rendered 825/4500, time remaining: 14m 58s
Rendered 826/4500, time remaining: 14m 58s
Rendered 826/4500, time remaining: 14m 58s
Rendered 827/4500, time remaining: 14m 58s
Rendered 828/4500, time remaining: 14m 58s
Rendered 828/4500, time remaining: 14m 58s
Rendered 829/4500, time remaining: 14m 59s
Rendered 830/4500, time remaining: 14m 58s
Rendered 830/4500, time remaining: 14m 58s
Rendered 831/4500, time remaining: 14m 58s
Rendered 832/4500, time remaining: 14m 57s
Rendered 832/4500, time remaining: 14m 57s
Rendered 833/4500, time remaining: 14m 58s
Rendered 834/4500, time remaining: 14m 58s
Rendered 834/4500, time remaining: 14m 58s
Rendered 835/4500, time remaining: 14m 56s
Rendered 836/4500, time remaining: 14m 55s
Rendered 836/4500, time remaining: 14m 55s
Rendered 837/4500, time remaining: 14m 54s
Rendered 838/4500, time remaining: 14m 53s
Rendered 838/4500, time remaining: 14m 53s
Rendered 839/4500, time remaining: 14m 53s
Rendered 840/4500, time remaining: 14m 53s
Rendered 840/4500, time remaining: 14m 53s
Rendered 841/4500, time remaining: 14m 53s
Rendered 842/4500, time remaining: 14m 52s
Rendered 842/4500, time remaining: 14m 52s
Rendered 843/4500, time remaining: 14m 52s
Rendered 844/4500, time remaining: 14m 52s
Rendered 844/4500, time remaining: 14m 52s
Rendered 845/4500, time remaining: 14m 52s
Rendered 846/4500, time remaining: 14m 52s
Rendered 846/4500, time remaining: 14m 52s
Rendered 847/4500, time remaining: 14m 51s
Rendered 848/4500, time remaining: 14m 51s
Rendered 849/4500, time remaining: 14m 51s
Rendered 849/4500, time remaining: 14m 51s
Rendered 850/4500, time remaining: 14m 51s
Rendered 850/4500, time remaining: 14m 51s
Rendered 851/4500, time remaining: 14m 52s
Rendered 852/4500, time remaining: 14m 52s
Rendered 852/4500, time remaining: 14m 52s
Rendered 853/4500, time remaining: 14m 52s
Rendered 854/4500, time remaining: 14m 51s
Rendered 855/4500, time remaining: 14m 51s
Rendered 855/4500, time remaining: 14m 51s
Rendered 856/4500, time remaining: 14m 51s
Rendered 857/4500, time remaining: 14m 51s
Rendered 857/4500, time remaining: 14m 51s
Rendered 858/4500, time remaining: 14m 51s
Rendered 859/4500, time remaining: 14m 50s
Rendered 859/4500, time remaining: 14m 50s
Rendered 860/4500, time remaining: 14m 51s
Rendered 861/4500, time remaining: 14m 50s
Rendered 861/4500, time remaining: 14m 50s
Rendered 862/4500, time remaining: 14m 50s
Rendered 863/4500, time remaining: 14m 50s
Rendered 863/4500, time remaining: 14m 50s
Rendered 864/4500, time remaining: 14m 50s
Rendered 865/4500, time remaining: 14m 52s
Rendered 865/4500, time remaining: 14m 52s
Rendered 866/4500, time remaining: 14m 52s
Rendered 867/4500, time remaining: 14m 51s
Rendered 867/4500, time remaining: 14m 51s
Rendered 868/4500, time remaining: 14m 50s
Rendered 869/4500, time remaining: 14m 51s
Rendered 869/4500, time remaining: 14m 51s
Rendered 870/4500, time remaining: 14m 52s
Rendered 871/4500, time remaining: 14m 52s
Rendered 871/4500, time remaining: 14m 52s
Rendered 872/4500, time remaining: 14m 51s
Rendered 873/4500, time remaining: 14m 50s
Rendered 873/4500, time remaining: 14m 50s
Rendered 874/4500, time remaining: 14m 51s
Rendered 875/4500, time remaining: 14m 50s
Rendered 875/4500, time remaining: 14m 50s
Rendered 876/4500, time remaining: 14m 49s
Rendered 877/4500, time remaining: 14m 50s
Rendered 877/4500, time remaining: 14m 50s
Rendered 878/4500, time remaining: 14m 50s
Rendered 879/4500, time remaining: 14m 50s
Rendered 879/4500, time remaining: 14m 50s
Rendered 880/4500, time remaining: 14m 49s
Rendered 881/4500, time remaining: 14m 49s
Rendered 881/4500, time remaining: 14m 49s
Rendered 882/4500, time remaining: 14m 49s
Rendered 883/4500, time remaining: 14m 48s
Rendered 884/4500, time remaining: 14m 47s
Rendered 884/4500, time remaining: 14m 47s
Rendered 885/4500, time remaining: 14m 47s
Rendered 886/4500, time remaining: 14m 46s
Rendered 886/4500, time remaining: 14m 46s
Rendered 887/4500, time remaining: 14m 46s
Rendered 888/4500, time remaining: 14m 45s
Rendered 888/4500, time remaining: 14m 45s
Rendered 889/4500, time remaining: 14m 45s
Rendered 890/4500, time remaining: 14m 45s
Rendered 890/4500, time remaining: 14m 45s
Rendered 891/4500, time remaining: 14m 44s
Rendered 892/4500, time remaining: 14m 43s
Rendered 892/4500, time remaining: 14m 43s
Rendered 893/4500, time remaining: 14m 43s
Rendered 894/4500, time remaining: 14m 42s
Rendered 894/4500, time remaining: 14m 42s
Rendered 895/4500, time remaining: 14m 41s
Rendered 896/4500, time remaining: 14m 41s
Rendered 896/4500, time remaining: 14m 41s
Rendered 897/4500, time remaining: 14m 40s
Rendered 898/4500, time remaining: 14m 39s
Rendered 898/4500, time remaining: 14m 39s
Rendered 899/4500, time remaining: 14m 38s
Rendered 900/4500, time remaining: 14m 38s
Rendered 901/4500, time remaining: 14m 38s
Rendered 901/4500, time remaining: 14m 38s
Rendered 902/4500, time remaining: 14m 37s
Rendered 903/4500, time remaining: 14m 37s
